iaaft;circular shifting;segment shuffling;random shuffling
0.0498500420604269;0.0425563123626006;0.0131951430321927;0.00896996803769358
0.0655217833559569;0.0531311392715215;0.0115272122103178;0.00370722711936681
0.0294772698788775;0.0265653426553645;0.0111402555082208;0.00592860066205693
0.0389187342403596;0.0382843920976032;0.0110777382145314;0.00192000118446591
0.0572811869487916;0.0473110463823129;0.0128322487027272;0.00618960753853893
0.0326363111707046;0.0359412139592823;0.0112556235924654;0.0056671169757156
0.0368203013660203;0.032359700883928;0.01454531917189;0.0114159894919335
0.0534966131218753;0.043170015487123;0.0108021122333682;0.0042254654269842
0.0589209020164957;0.0511997382385172;0.0234338015921505;0.0213971441047704
0.0532293831684234;0.0417510307417838;0.0122037957443793;0.00741005191028908
0.0644172610491174;0.0461463889410172;0.0115697809805829;0.00410764337462226
0.0411972830611409;0.0339206961554392;0.0111021439707177;0.0034274206463944
0.0473381525489743;0.051062344269765;0.0260168946672873;0.0241369000122285
0.0329719992143737;0.0360926303186774;0.0162263201787559;0.0133639646769683
0.0269205945189606;0.0258305240497895;0.0122078930506508;0.0083564159204067
